,open,high,low,close,volume,returns,log_returns,volatility,high_low_ratio,gap,volume_ma,volume_ratio,volume_ma50,volume_trend
2025-10-06,257.99,259.07,255.05,256.69,44664118.0,,,,0.015660913942888238,,,,,
2025-10-07,256.805,257.4,255.43,256.48,31955776.0,-0.000818107444777616,-0.0008184422773049941,,0.007680910792264389,0.0004480112197592781,,,,
2025-10-08,256.52,258.52,256.11,258.06,36496895.0,0.006160324391765393,0.006141427162457078,,0.009338913430984919,0.00015595757953822372,,,,
2025-10-09,257.805,258.0,253.14,254.04,38322012.0,-0.01557777261102078,-0.01570038108892594,,0.019130845536136094,-0.000988142292490101,,,,
2025-10-10,254.94,256.38,244.0,245.27,61999098.0,-0.03452212250039355,-0.0351320903749287,,0.05047498674929667,0.003542749173358549,,,,
2025-10-13,249.38,249.69,245.56,247.66,38142942.0,0.009744363354670327,0.009697193227107182,,0.01667608818541547,0.01675704325844981,,,,
2025-10-14,246.6,248.845,244.7,247.77,35477986.0,0.0004441573124445153,0.0004440587037828413,,0.01672922468418295,-0.0042800613744650015,,,,
2025-10-15,249.485,251.82,247.47,249.34,33893611.0,0.006336521774226167,0.0063165304260936386,,0.01744605759204297,0.006921741938087756,,,,
2025-10-16,248.25,249.04,245.13,247.45,39776974.0,-0.007580011229646355,-0.007608885518933919,,0.015801171953930073,-0.004371540867891247,,,,
2025-10-17,248.02,253.38,247.27,252.29,49146961.0,0.0195595069711052,0.019370678108879068,,0.02421816163938319,0.0023034956556881054,,,,
2025-10-20,255.885,264.375,255.63,262.24,90483029.0,0.03943874113123802,0.038680895488745495,,0.03334731543624163,0.014249474810733676,,,,
2025-10-21,261.88,265.29,261.83,262.77,46695948.0,0.0020210494203782847,0.002019009847587752,,0.013167408760513135,-0.0013727882855400155,,,,
2025-10-22,262.65,262.85,255.43,258.45,45015254.0,-0.016440232903299434,-0.016576873201058953,,0.02870961501257503,-0.0004566731362027802,,,,
2025-10-23,259.94,260.62,258.0101,259.58,32754941.0,0.0043722189978718795,0.004362688617564541,,0.010054318514523392,0.005765138324627623,,,,
2025-10-24,261.19,264.13,259.18,262.82,38253717.0,0.012481701209646312,0.012404446955879033,,0.018834183091088915,0.0062023268356576535,,,,
2025-10-27,264.88,269.12,264.6501,268.81,44888152.0,0.02279126398295417,0.022535423122463517,,0.016628473643093618,0.007838064074271373,,,,
2025-10-28,268.985,269.89,268.15,269.0,41534759.0,0.0007068189427477112,0.0007065692638837042,,0.006468401486988881,0.000651017447267629,,,,
2025-10-29,269.275,271.41,267.11,269.7,51086742.0,0.0026022304832713505,0.0025988505438451492,,0.015943641082684507,0.00102230483271367,,,,
2025-10-30,271.99,274.14,268.48,271.4,69886534.0,0.006303299962921782,0.006283517255084504,,0.020854826823876082,0.008490915832406454,,,,
2025-10-31,276.99,277.32,269.16,270.37,86167123.0,-0.0037951363301399477,-0.0038023561325672382,,0.030180863261456404,0.020596904937361948,47832128.6,1.801448639691105,,
2025-11-03,270.42,270.85,266.25,269.05,50194583.0,-0.004882198468765031,-0.004894155332772815,0.24527915325225205,0.01709719383014318,0.00018493176018053543,48108651.85,1.0433587529433128,,
2025-11-04,268.325,271.486,267.615,270.04,49274846.0,0.0036796134547483206,0.0036728602382412124,0.2449995422079279,0.014334913346170866,-0.0026946664188813333,48974605.35,1.006130537405137,,
2025-11-05,268.61,271.7,266.93,270.14,42586288.0,0.00037031550881327924,0.00037024695894810876,0.24477443149339273,0.017657510920263502,-0.005295511776033205,49279075.0,0.8641860262190392,,
2025-11-06,267.89,273.4,267.89,269.77,51204045.0,-0.0013696601762049898,-0.0013705990180649203,0.23596915851838693,0.020424806316491795,-0.008329014585029985,49923176.65,1.0256567878077927,,
2025-11-07,269.795,272.29,266.77,268.47,48227365.0,-0.004818919820587686,-0.0048305682516764535,0.19272971609806533,0.02056095653145617,9.267153501143235e-05,49234590.0,0.9795423298944909,,
2025-11-10,268.96,273.73,267.455,269.43,41312412.0,0.003575818527209673,0.0035694404880914532,0.19178670041162085,0.023289908324982497,0.001825157373263129,49393063.5,0.8364010869663916,,
2025-11-11,269.81,275.91,269.8,275.25,46208318.0,0.021601158000222664,0.02137115925182126,0.20065857029445747,0.022198001816530477,0.0014103848866124614,49929580.1,0.9254697898010161,,
2025-11-12,275.0,275.73,271.7,273.47,48397982.0,-0.006466848319709229,-0.006487848970949063,0.20492316829072602,0.014736534171938528,-0.0009082652134423251,50654798.65,0.9554471301802322,,
2025-11-13,274.11,276.699,272.09,272.95,49602794.0,-0.0019014882802502742,-0.001903298404073698,0.20136763106610758,0.016885876534163905,0.0023402932680000963,51146089.65,0.969825735250515,,
2025-11-14,271.05,275.96,269.6,272.41,47431331.0,-0.0019783843194722817,-0.0019803439067010314,0.1951173804027619,0.02334716053008317,-0.006960981864810322,51060308.15,0.9289276292783204,,
2025-11-17,268.815,270.49,265.73,267.46,45018260.0,-0.01817113909181034,-0.018338261876415136,0.1600051729244465,0.017797053765048948,-0.013197019199001604,48787069.7,0.9227498244273522,,
2025-11-18,269.99,270.71,265.32,267.44,45677278.0,-7.477753682783028e-05,-7.478033280722247e-05,0.16000665697062036,0.020154053245587746,0.009459358408734127,48736136.2,0.937236341686028,,
2025-11-19,265.525,272.21,265.5,268.56,40424492.0,0.004187855219862424,0.004179110559936339,0.14648986678744313,0.02498510574918074,-0.007160484594675518,48506598.1,0.8333813044704118,,
2025-11-20,270.83,275.43,265.92,266.25,45823568.0,-0.008601429848078657,-0.00863863564814463,0.15083151230276962,0.0357183098591549,0.008452487339886737,49160029.45,0.9321306051414499,,
2025-11-21,265.95,273.33,265.67,271.49,59030832.0,0.019680751173708932,0.01948958925950229,0.15980040588049302,0.028214667206895163,-0.0011267605633803245,50198885.2,1.1759391023289099,,
2025-11-24,270.9,277.0,270.9,275.92,65585796.0,0.01631735975542381,0.016185662345448357,0.14979138828362973,0.02210785734995659,-0.0021731923827766468,51233767.4,1.2801283085030362,,
2025-11-25,275.27,280.38,275.25,276.97,46914220.0,0.003805450855320469,0.003798228444435278,0.15001905065717536,0.01852186157345559,-0.002355755291388932,51502740.45,0.910907256392412,,
2025-11-26,276.96,279.53,276.63,277.55,33431423.0,0.002094089612593386,0.002091900063149602,0.14998051518610017,0.010448567825616924,-3.610499332074863e-05,50619974.5,0.660439348897736,,
2025-11-28,277.26,279.0,275.9865,278.85,20135620.0,0.004683840749414525,0.004672905699392423,0.14939847560121902,0.010806885422270115,-0.0010448567825617743,48132428.8,0.41833791690977373,,
2025-12-01,278.01,283.42,276.14,283.1,46587722.0,0.01524116908732287,0.01512618928229114,0.15576957764781435,0.025715294948781452,-0.0030123722431415877,46153458.75,1.0094091160611012,,
2025-12-02,283.0,287.4,282.6301,286.19,53669532.0,0.010914871070293097,0.010855733793081178,0.15613605233561467,0.016666899612145604,-0.00035323207347235156,46327206.2,1.1584884218638678,,
2025-12-03,286.2,288.62,283.3,284.15,43538687.0,-0.007128131660784853,-0.007153658167804741,0.16029692072304094,0.018722505718810466,3.4941821866560345e-05,46040398.25,0.945662693089324,,
2025-12-04,284.095,284.73,278.59,280.7,43989056.0,-0.012141474573288735,-0.01221578437529367,0.16854361435552287,0.021873886711792103,-0.00019355973957399254,46110536.65,0.9539914127197651,,
2025-12-05,280.54,281.14,278.05,278.78,47265845.0,-0.006840042750267283,-0.006863543066096575,0.17108180692074754,0.011084008895903491,-0.0005700035625221524,45913626.65,1.0294513513451675,,
2025-12-08,278.13,279.6693,276.15,277.89,36406317.0,-0.003192481526651747,-0.0031975883676944017,0.1703558355930085,0.012664363597106928,-0.0023315876318242964,45322574.25,0.8032711645896857,,
2025-12-09,278.16,280.03,276.92,277.18,31753410.0,-0.0025549677930115644,-0.002558237293389336,0.1708879819737956,0.011220145753661724,0.0009716074705820241,44844624.15,0.7080761763949359,,
2025-12-10,277.75,279.75,276.44,278.78,33038318.0,0.005772422252687592,0.005755825661083699,0.15462396161374137,0.011873161632828763,0.0020564254275199983,44186124.15,0.7477079883232981,,
2025-12-11,279.095,279.59,273.81,278.03,33247986.0,-0.0026902934213358654,-0.0026939187642996787,0.15287931218340275,0.0207891234758838,0.0011299232369612405,43428624.35,0.7655776920781051,,
2025-12-12,277.9,279.22,276.82,278.28,39532887.0,0.0008991835413445504,0.000898779517999993,0.15252846059955996,0.008624407072013923,-0.0004675754414991025,42925129.0,0.9209730505410945,,
