Date,close,open,high,low,涨跌幅,volume,Ticker,Return,Volatility,Volume_MA20,Volume_Ratio,Overreaction,Herding,LossAversion,Disposition,Vol_lag1
2023-03-01,145.31,146.83,147.23,145.01,-1.42%,55480000.0,AAPL,,,,,,,0.0,,
2023-03-02,145.91,144.38,146.71,143.9,0.41%,52280000.0,AAPL,0.004129103296400816,,,,,,0.0,,
2023-03-03,151.03,148.04,151.11,147.33,3.51%,70730000.0,AAPL,0.0350901240490713,,,,0.0,,0.0,,
2023-03-06,153.83,153.79,156.3,153.46,1.85%,87560000.0,AAPL,0.01853936304045556,,,,0.0,,0.0,,
2023-03-07,151.6,153.7,154.03,151.13,-1.45%,56180000.0,AAPL,-0.014496522134824219,,,,0.0,,0.0,,
2023-03-08,152.87,152.81,153.47,151.83,0.84%,47200000.0,AAPL,0.008377308707124165,,,,0.0,,0.0,,
2023-03-09,150.59,153.56,154.54,150.23,-1.49%,53830000.0,AAPL,-0.014914633348596884,,,,0.0,,0.0,,
2023-03-10,148.5,150.21,150.94,147.61,-1.39%,68570000.0,AAPL,-0.01387874360847341,,,,0.0,,,,
2023-03-13,150.47,147.8,153.14,147.7,1.33%,84460000.0,AAPL,0.013265993265993314,,,,0.0,,0.0,,
2023-03-14,152.59,151.28,153.4,150.1,1.41%,73700000.0,AAPL,0.014089187213398136,,64999000.0,1.1338635979015061,0.0,,0.0,1.1338635979015061,
2023-03-15,152.99,151.19,153.24,149.92,0.26%,77170000.0,AAPL,0.0026214037617144914,0.25867869474153005,66105454.54545455,1.167377193464987,0.0,,0.0,1.167377193464987,
2023-03-16,155.85,152.16,156.46,151.64,1.87%,76250000.0,AAPL,0.01869403228969202,0.2536611690158802,66950833.333333336,1.138895458109807,0.0,,0.0,1.138895458109807,0.25867869474153005
2023-03-17,155.0,156.08,156.74,154.28,-0.55%,98940000.0,AAPL,-0.005453962143086244,0.24798414273292646,69411538.46153846,1.4254114257217265,0.0,,0.0,-1.4254114257217265,0.2536611690158802
2023-03-20,157.4,155.07,157.82,154.15,1.55%,73640000.0,AAPL,0.015483870967742064,0.24145734650356993,69713571.42857143,1.0563222983842047,0.0,,0.0,1.0563222983842047,0.24798414273292646
2023-03-21,159.28,157.32,159.4,156.54,1.19%,73940000.0,AAPL,0.011944091486658204,0.23322917857443545,69995333.33333333,1.0563561380282496,0.0,,0.0,1.0563561380282496,0.24145734650356993
2023-03-22,157.83,159.3,162.14,157.81,-0.91%,75700000.0,AAPL,-0.009103465595178273,0.23386854798968262,70351875.0,1.0760196512175404,0.0,,0.0,-1.0760196512175404,0.23322917857443545
2023-03-23,158.93,158.83,161.55,157.68,0.70%,67620000.0,AAPL,0.006969524171577035,0.22600140614270908,70191176.47058824,0.9633689503456945,0.0,,0.0,0.9633689503456945,0.23386854798968262
2023-03-24,160.25,158.86,160.34,157.85,0.83%,59260000.0,AAPL,0.008305543320958897,0.2190530202179567,69583888.8888889,0.8516339190904663,0.0,,0.0,0.8516339190904663,0.22600140614270908
2023-03-27,158.28,159.94,160.77,157.87,-1.23%,52390000.0,AAPL,-0.012293291731669265,0.22310641983990634,68678947.36842105,0.7628247375277799,0.0,,0.0,-0.7628247375277799,0.2190530202179567
2023-03-28,157.65,157.97,158.49,155.98,-0.40%,45990000.0,AAPL,-0.003980288097043205,0.21919441902942968,67544500.0,0.6808844539525795,0.0,,,-0.6808844539525795,0.22310641983990634
2023-03-29,160.77,159.37,161.05,159.35,1.98%,51310000.0,AAPL,0.019790675547098013,0.22024159650045136,67336000.0,0.7619995247712962,0.0,,0.0,0.7619995247712962,0.21919441902942968
2023-03-30,162.36,161.53,162.47,161.27,0.99%,49500000.0,AAPL,0.009889904832991236,0.22083282984830097,67197000.0,0.7366400285727042,0.0,,0.0,0.7366400285727042,0.22024159650045136
2023-03-31,164.9,162.44,165.0,161.91,1.56%,68750000.0,AAPL,0.015644247351564333,0.19555304877262034,67098000.0,1.0246207040448299,0.0,,0.0,1.0246207040448299,0.22083282984830097
2023-04-03,166.17,164.27,166.29,164.22,0.77%,56980000.0,AAPL,0.00770163735597329,0.1888850681070029,65569000.0,0.8690082203480303,0.0,,0.0,0.8690082203480303,0.19555304877262034
2023-04-04,165.63,166.6,166.84,165.11,-0.32%,46280000.0,AAPL,-0.00324968405849424,0.17825038722685668,65074000.0,0.711190337154624,0.0,,0.0,-0.711190337154624,0.1888850681070029
2023-04-05,163.76,164.74,165.05,161.8,-1.13%,51510000.0,AAPL,-0.011290225200748738,0.18606904451435946,65289500.0,0.7889476868409162,0.0,,,-0.7889476868409162,0.17825038722685668
2023-04-06,164.66,162.43,164.96,162.0,0.55%,45390000.0,AAPL,0.005495847581827196,0.17289984037267406,64867500.0,0.6997340733032721,0.0,,0.0,0.6997340733032721,0.18606904451435946
2023-04-10,162.03,161.42,162.03,160.08,-1.60%,47720000.0,AAPL,-0.015972306571116257,0.17598872075115354,63825000.0,0.7476694085389738,0.0,,0.0,-0.7476694085389738,0.17289984037267406
2023-04-11,160.8,162.35,162.36,160.51,-0.76%,47640000.0,AAPL,-0.007591186817256013,0.177660802646572,61984000.0,0.7685854414042333,0.0,,,-0.7685854414042333,0.17598872075115354
2023-04-12,160.1,161.22,162.06,159.78,-0.44%,50130000.0,AAPL,-0.0043532338308458485,0.17496345515985776,60805500.0,0.8244320003947011,0.0,,,-0.8244320003947011,0.177660802646572
2023-04-13,165.56,161.63,165.8,161.42,3.41%,68450000.0,AAPL,0.034103685196752,0.20792563734339534,60369500.0,1.1338507027555305,-0.009212138052950439,,0.0,1.1338507027555305,0.17496345515985776
2023-04-14,165.21,164.59,166.32,163.82,-0.21%,49390000.0,AAPL,-0.0021140372070548308,0.20149025359357123,59026500.0,0.8367428189033739,-0.009212138052950439,,0.0,-0.8367428189033739,0.20792563734339534
